Soto, Juan,665742,2021,654,414,.313,.304,0.009,.534,.544,-0.010,.420,.430,-0.010
Harper, Bryce,547180,2021,599,360,.309,.301,0.008,.615,.610,0.005,.431,.430,0.001
Acuña Jr., Ronald,660670,2021,360,217,.283,.294,-0.011,.596,.605,-0.009,.412,.427,-0.015
Trout, Mike,545361,2021,146,76,.333,.300,0.033,.624,.571,0.053,.451,.423,0.028
Guerrero Jr., Vladimir,665489,2021,698,496,.311,.306,0.005,.601,.591,0.010,.419,.416,0.003
Freeman, Freddie,518692,2021,695,495,.300,.319,-0.019,.503,.582,-0.079,.379,.416,-0.037
Judge, Aaron,592450,2021,633,397,.287,.306,-0.019,.544,.591,-0.047,.387,.416,-0.029
Grandal, Yasmani,518735,2021,375,203,.240,.258,-0.018,.520,.506,0.014,.402,.414,-0.012
Ohtani, Shohei,660271,2021,639,350,.257,.268,-0.011,.592,.612,-0.020,.393,.408,-0.015
Tatis Jr., Fernando,665487,2021,546,329,.282,.279,0.003,.611,.618,-0.007,.403,.406,-0.003
Votto, Joey,458015,2021,533,325,.266,.274,-0.008,.563,.592,-0.029,.391,.406,-0.015
Muncy, Max,571970,2021,592,378,.249,.271,-0.022,.527,.581,-0.054,.379,.406,-0.027
Buxton, Byron,621439,2021,254,173,.306,.300,0.006,.647,.611,0.036,.419,.405,0.014
Tucker, Kyle,663656,2021,567,421,.294,.307,-0.013,.557,.580,-0.023,.381,.399,-0.018
Schwarber, Kyle,656941,2021,471,274,.266,.265,0.001,.554,.564,-0.010,.392,.399,-0.007
Goldschmidt, Paul,502671,2021,679,472,.294,.293,0.001,.514,.574,-0.060,.373,.396,-0.023
Seager, Corey,608369,2021,409,290,.306,.295,0.011,.521,.530,-0.009,.389,.393,-0.004
Devers, Rafael,646240,2021,664,452,.279,.291,-0.012,.538,.568,-0.030,.373,.392,-0.019
O'Neill, Tyler,641933,2021,537,318,.286,.279,0.007,.560,.583,-0.023,.384,.391,-0.007
Winker, Jesse,608385,2021,485,348,.305,.295,0.010,.556,.524,0.032,.403,.389,0.014
Alvarez, Yordan,670541,2021,598,395,.277,.279,-0.002,.531,.570,-0.039,.369,.389,-0.020
Donaldson, Josh,518626,2021,543,351,.247,.268,-0.021,.475,.541,-0.066,.353,.387,-0.034
Reynolds, Bryan,668804,2021,646,444,.302,.293,0.009,.522,.522,0.000,.385,.385,0.000
Garver, Mitch,641598,2021,243,138,.256,.256,0.000,.517,.546,-0.029,.372,.385,-0.013
Machado, Manny,592518,2021,640,473,.278,.294,-0.016,.489,.530,-0.041,.350,.380,-0.030
Ruf, Darin,573131,2021,312,176,.271,.260,0.011,.519,.512,0.007,.384,.379,0.005
Olson, Matt,621566,2021,673,463,.271,.264,0.007,.540,.506,0.034,.379,.379,-0.000
Siri, Jose,642350,2021,49,29,.304,.262,0.042,.609,.595,0.014,.401,.377,0.024
Hoskins, Rhys,656555,2021,443,283,.247,.249,-0.002,.530,.564,-0.034,.364,.377,-0.013
Kirk, Alejandro,672386,2021,189,145,.242,.288,-0.046,.436,.516,-0.080,.330,.377,-0.047
Alonso, Pete,624413,2021,637,438,.262,.270,-0.008,.519,.541,-0.022,.363,.376,-0.013
Robert, Luis,673357,2021,296,216,.338,.297,0.041,.567,.537,0.030,.399,.375,0.024
Castro, Jason,488771,2021,179,97,.235,.255,-0.020,.443,.500,-0.057,.347,.375,-0.028
Castellanos, Nick,592206,2021,585,416,.309,.293,0.016,.576,.535,0.041,.391,.374,0.017
Martinez, J.D.,502110,2021,634,425,.286,.288,-0.002,.518,.534,-0.016,.363,.374,-0.011
Belt, Brandon,474832,2021,381,223,.274,.243,0.031,.597,.526,0.071,.406,.374,0.032
Ramírez, José,608070,2021,636,470,.266,.281,-0.015,.538,.505,0.033,.372,.374,-0.002
Correa, Carlos,621043,2021,640,445,.279,.296,-0.017,.485,.482,0.003,.364,.373,-0.009
Perez, Salvador,521692,2021,665,454,.273,.276,-0.003,.544,.566,-0.022,.359,.372,-0.013
Marte, Ketel,606466,2021,374,281,.318,.307,0.011,.532,.495,0.037,.385,.371,0.014
Joe, Connor,656582,2021,211,141,.285,.283,0.002,.469,.467,0.002,.366,.371,-0.005
Hernández, Teoscar,606192,2021,595,404,.296,.282,0.014,.524,.533,-0.009,.369,.367,0.002
García, Avisaíl,541645,2021,515,345,.262,.278,-0.016,.490,.514,-0.024,.346,.366,-0.020
Bell, Josh,605137,2021,568,400,.261,.277,-0.016,.476,.487,-0.011,.352,.366,-0.014
Kirilloff, Alex,666135,2021,231,164,.251,.291,-0.040,.423,.541,-0.118,.307,.365,-0.058
Riley, Austin,663586,2021,662,430,.303,.279,0.024,.531,.509,0.022,.379,.364,0.015
Smith, Will,669257,2021,501,324,.258,.250,0.008,.495,.472,0.023,.364,.363,0.001
Turner, Trea,607208,2021,646,489,.328,.303,0.025,.536,.484,0.052,.386,.362,0.024
Brantley, Michael,488726,2021,508,417,.311,.312,-0.001,.437,.466,-0.029,.347,.362,-0.015
Pollock, AJ,572041,2021,422,306,.297,.285,0.012,.536,.501,0.035,.375,.362,0.013
Cron, C.J.,543068,2021,547,357,.281,.261,0.020,.530,.480,0.050,.383,.362,0.021
Posey, Buster,457763,2021,454,310,.304,.281,0.023,.499,.469,0.030,.379,.361,0.018
Cooper, Garrett,643265,2021,250,148,.284,.269,0.015,.465,.458,0.007,.367,.361,0.006
Lowe, Brandon,664040,2021,615,371,.247,.249,-0.002,.523,.499,0.024,.363,.360,0.003
Voit, Luke,572228,2021,241,139,.239,.252,-0.013,.437,.497,-0.060,.332,.360,-0.028
Turner, Justin,457759,2021,612,441,.278,.270,0.008,.471,.469,0.002,.358,.359,-0.001
Bogaerts, Xander,593428,2021,603,423,.295,.279,0.016,.493,.467,0.026,.368,.358,0.010
Stanton, Giancarlo,519317,2021,579,356,.273,.259,0.014,.516,.494,0.022,.370,.358,0.012
Cruz, Nelson,443558,2021,584,396,.265,.265,0.000,.497,.514,-0.017,.344,.358,-0.014
Springer, George,543807,2021,342,221,.264,.247,0.017,.555,.507,0.048,.380,.358,0.022
Candelario, Jeimer,600869,2021,626,422,.271,.278,-0.007,.443,.465,-0.022,.344,.357,-0.013
Blackmon, Charlie,453568,2021,582,426,.270,.292,-0.022,.411,.457,-0.046,.333,.357,-0.024
Senzel, Nick,669222,2021,124,96,.252,.310,-0.058,.315,.438,-0.123,.286,.357,-0.071
Crawford, Brandon,543063,2021,549,383,.298,.259,0.039,.522,.492,0.030,.377,.356,0.021
Betts, Mookie,605141,2021,550,385,.264,.262,0.002,.487,.443,0.044,.365,.356,0.009
India, Jonathan,663697,2021,631,396,.269,.259,0.010,.459,.442,0.017,.363,.355,0.008
Bichette, Bo,666182,2021,690,507,.298,.291,0.007,.484,.489,-0.005,.354,.354,-0.000
Pinder, Chad,640461,2021,233,153,.243,.261,-0.018,.411,.507,-0.096,.307,.354,-0.047
Pham, Tommy,502054,2021,561,351,.229,.258,-0.029,.383,.442,-0.059,.318,.354,-0.036
Soler, Jorge,624585,2021,602,379,.223,.249,-0.026,.432,.493,-0.061,.319,.354,-0.035
Zunino, Mike,572287,2021,375,202,.216,.220,-0.004,.559,.535,0.024,.358,.354,0.004
