TBR,9.46,2.82,3.36,1.00,25.6%,7.6%,18.0%,.222,1.14,.278,74.6%,79,88,93,3.24,3.59,-0.35,3.98,3.59
SFG,8.37,2.73,3.07,0.95,22.6%,7.4%,15.2%,.218,1.13,.262,74.3%,74,92,99,2.99,3.71,-0.72,4.20,3.88
SEA,9.06,3.13,2.90,0.93,24.0%,8.3%,15.7%,.230,1.22,.286,69.4%,94,89,98,3.88,3.72,0.16,4.18,3.83
CHW,10.58,3.45,3.07,1.15,27.9%,9.1%,18.8%,.229,1.25,.298,72.7%,92,85,90,3.97,3.75,0.22,3.83,3.51
NYY,10.02,3.36,2.99,1.08,26.6%,8.9%,17.7%,.221,1.21,.282,72.7%,83,86,88,3.56,3.76,-0.20,3.78,3.57
MIA,8.40,3.33,2.52,0.82,22.0%,8.7%,13.3%,.235,1.26,.288,70.1%,95,92,101,3.81,3.80,0.01,4.29,4.05
LAD,9.64,3.98,2.42,0.89,25.5%,10.5%,15.0%,.202,1.19,.257,73.6%,78,90,96,3.16,3.83,-0.67,4.07,3.89
STL,8.86,4.54,1.95,0.79,23.0%,11.8%,11.2%,.219,1.32,.274,72.5%,99,98,109,3.97,4.04,-0.06,4.65,4.40
NYM,9.94,3.70,2.69,1.15,25.8%,9.6%,16.2%,.233,1.30,.295,73.7%,99,98,98,3.90,4.05,-0.15,4.15,3.80
BOS,10.01,4.23,2.37,1.04,25.6%,10.8%,14.8%,.241,1.39,.311,72.7%,88,96,99,3.99,4.06,-0.07,4.23,3.94
CLE,9.83,3.73,2.63,1.18,25.6%,9.7%,15.9%,.230,1.29,.289,77.2%,84,96,92,3.64,4.06,-0.42,3.96,3.79
ATL,9.01,3.64,2.47,1.10,23.4%,9.4%,13.9%,.238,1.32,.291,74.0%,92,97,103,3.97,4.08,-0.11,4.36,4.07
SDP,9.35,3.44,2.72,1.16,24.6%,9.0%,15.5%,.228,1.24,.281,75.4%,90,99,98,3.62,4.14,-0.52,4.18,3.84
LAA,9.25,4.04,2.29,1.07,23.5%,10.3%,13.2%,.245,1.40,.305,69.6%,105,96,102,4.59,4.19,0.40,4.38,4.10
KCR,8.93,3.99,2.24,1.09,23.4%,10.4%,13.0%,.231,1.31,.282,71.4%,95,100,105,4.22,4.20,0.02,4.50,4.19
TEX,8.49,3.58,2.37,1.12,22.0%,9.3%,12.7%,.240,1.32,.287,71.0%,96,98,103,4.13,4.20,-0.08,4.43,4.17
HOU,9.92,4.01,2.47,1.18,25.7%,10.4%,15.3%,.227,1.30,.286,72.4%,96,99,98,4.06,4.21,-0.15,4.19,3.90
MIL,10.89,4.15,2.63,1.39,28.1%,10.7%,17.4%,.223,1.30,.284,75.1%,95,102,95,4.02,4.34,-0.31,4.05,3.70
OAK,7.85,3.19,2.46,1.22,20.5%,8.3%,12.2%,.240,1.28,.277,71.6%,101,105,109,4.21,4.37,-0.16,4.69,4.28
TOR,9.41,3.72,2.53,1.30,24.6%,9.7%,14.9%,.228,1.28,.277,73.4%,91,103,98,4.08,4.38,-0.29,4.22,3.92
MIN,9.12,3.58,2.55,1.33,23.8%,9.3%,14.5%,.238,1.31,.287,70.3%,101,102,100,4.39,4.38,0.00,4.27,3.98
CHC,10.20,4.45,2.29,1.27,25.9%,11.3%,14.6%,.223,1.34,.279,70.6%,104,106,100,4.39,4.48,-0.09,4.26,3.98
PIT,8.98,4.30,2.09,1.18,22.9%,11.0%,11.9%,.238,1.39,.289,71.2%,110,106,110,4.55,4.48,0.07,4.67,4.31
DET,8.92,4.40,2.03,1.17,22.4%,11.0%,11.4%,.249,1.45,.303,71.7%,104,105,109,4.50,4.53,-0.03,4.69,4.36
CIN,10.48,4.45,2.35,1.45,26.8%,11.4%,15.4%,.233,1.38,.293,68.4%,113,104,102,4.99,4.56,0.42,4.34,3.94
COL,8.78,4.25,2.06,1.24,22.3%,10.8%,11.5%,.246,1.42,.296,69.4%,103,103,109,4.91,4.58,0.33,4.63,4.36
PHI,9.40,3.99,2.36,1.39,23.8%,10.1%,13.7%,.246,1.39,.298,71.0%,108,106,101,4.60,4.61,-0.01,4.27,4.02
ARI,7.75,3.81,2.04,1.35,19.1%,9.4%,9.7%,.272,1.52,.313,66.9%,119,116,117,5.08,4.85,0.24,4.98,4.56
WSN,8.97,4.19,2.14,1.45,22.3%,10.4%,11.9%,.248,1.44,.293,67.7%,119,113,112,5.08,4.86,0.22,4.75,4.32
BAL,8.60,4.00,2.15,1.47,21.5%,10.0%,11.5%,.257,1.46,.300,65.2%,129,107,111,5.70,4.87,0.83,4.76,4.35
