Evan Marshall,CHW,13.09,1.64,8.00,0.00,38.1%,4.8%,33.3%,.175,0.82,.292,66.7%,2.45,0.83,1.63,2.05,12297
Raisel Iglesias,CIN,12.83,1.35,9.50,0.00,35.2%,3.7%,31.5%,.200,0.90,.313,38.5%,3.38,1.02,2.36,2.61,17130
Matt Foster,CHW,11.48,1.35,8.50,0.00,34.0%,4.0%,30.0%,.170,0.75,.258,60.0%,2.03,1.09,0.93,2.97,19647
James Karinchak,CLE,18.44,6.59,2.80,0.00,48.3%,17.2%,31.0%,.152,1.24,.350,76.5%,2.63,1.29,1.35,2.42,20151
Wander Suero,WSN,11.48,1.35,8.50,0.00,33.3%,3.9%,29.4%,.208,0.90,.323,69.2%,2.70,1.32,1.38,2.76,15855
Caleb Ferguson,LAD,13.50,0.00,15.00,0.90,39.5%,0.0%,39.5%,.211,0.80,.318,90.9%,0.90,1.49,-0.59,1.54,19349
Dylan Bundy,LAA,10.99,0.63,17.50,0.31,32.1%,1.8%,30.3%,.171,0.70,.246,68.0%,1.88,1.62,0.26,2.58,12917
Devin Williams,MIL,16.34,2.84,5.75,0.71,47.9%,8.3%,39.6%,.119,0.71,.211,81.4%,0.71,1.77,-1.06,1.66,15816
Edwin Diaz,NYM,18.82,4.09,4.60,0.82,50.0%,10.9%,39.1%,.200,1.18,.438,79.4%,2.45,1.83,0.63,1.35,14710
Pete Fairbanks,TBR,11.91,3.18,3.75,0.00,34.1%,9.1%,25.0%,.154,0.88,.250,72.7%,2.38,1.87,0.51,3.40,17998
Jacob Barnes,LAA,15.19,1.69,9.00,0.84,40.0%,4.4%,35.6%,.250,1.13,.391,60.3%,5.06,1.88,3.18,2.47,12323
Phil Maton,CLE,16.03,3.38,4.75,0.00,38.0%,8.0%,30.0%,.262,1.41,.478,68.4%,3.38,1.88,1.50,2.96,18064
Ian Anderson,ATL,12.74,4.08,3.13,0.00,34.2%,11.0%,23.3%,.172,1.08,.282,75.0%,2.55,1.89,0.66,2.98,19951
Drew Smyly,SFG,15.00,3.00,5.00,0.75,38.5%,7.7%,30.8%,.213,1.17,.333,63.5%,3.75,1.94,1.81,2.63,11760
Nick Tropeano,PIT,10.45,2.61,4.00,0.00,27.3%,6.8%,20.5%,.250,1.26,.357,92.9%,0.87,2.03,-1.16,4.64,12385
Trevor Rosenthal,- - -,14.82,3.71,4.00,0.53,42.4%,10.6%,31.8%,.158,0.94,.276,76.9%,2.12,2.07,0.04,3.24,10745
Anthony Misiewicz,SEA,12.79,2.13,6.00,0.71,33.3%,5.6%,27.8%,.275,1.34,.406,76.9%,3.55,2.09,1.47,2.73,18152
Yu Darvish,CHC,7.65,1.80,4.25,0.00,22.1%,5.2%,16.9%,.208,0.95,.268,94.7%,0.45,2.09,-1.64,3.92,13074
Greg Holland,KCR,9.56,1.69,5.67,0.00,26.6%,4.7%,21.9%,.196,0.88,.268,82.4%,1.69,2.19,-0.50,3.88,7196
A.J. Minter,ATL,10.64,4.09,2.60,0.00,32.5%,12.5%,20.0%,.114,0.82,.182,88.9%,0.82,2.19,-1.37,3.77,18655
Adbert Alzolay,CHC,13.80,3.60,3.83,0.60,41.8%,10.9%,30.9%,.146,0.87,.240,86.2%,1.20,2.19,-0.99,2.61,17859
Phillips Valdez,BOS,8.16,2.51,3.25,0.00,22.8%,7.0%,15.8%,.226,1.12,.300,81.3%,1.26,2.21,-0.96,4.10,15605
Hyun Jin Ryu,TOR,10.19,2.48,4.11,0.28,28.7%,7.0%,21.7%,.195,0.98,.272,79.1%,2.20,2.24,-0.04,3.03,14444
Felix Pena,LAA,10.03,3.86,2.60,0.00,25.5%,9.8%,15.7%,.217,1.29,.303,73.3%,3.09,2.25,0.84,4.07,13403
Justin Wilson,NYM,9.28,3.38,2.75,0.00,27.5%,10.0%,17.5%,.139,0.84,.200,77.8%,0.00,2.25,-2.25,4.06,4301
Corbin Burnes,MIL,12.18,3.97,3.07,0.26,33.3%,10.9%,22.5%,.172,1.06,.267,73.0%,2.65,2.28,0.37,3.26,19361
Dylan Floro,LAD,6.35,1.59,4.00,0.00,17.0%,4.3%,12.8%,.302,1.32,.351,80.0%,2.38,2.31,0.07,3.50,13394
Paul Fry,BAL,14.34,3.38,4.25,0.84,35.4%,8.3%,27.1%,.273,1.50,.423,82.2%,2.53,2.35,0.18,2.39,15832
Luis Castillo,CIN,10.75,3.66,2.94,0.23,28.0%,9.5%,18.5%,.245,1.35,.346,60.1%,4.12,2.35,1.77,3.10,15689
Tyler Webb,STL,8.25,3.00,2.75,0.00,23.9%,8.7%,15.2%,.171,0.92,.226,90.9%,0.75,2.36,-1.61,4.77,14974
Clayton Kershaw,LAD,9.20,1.02,9.00,0.61,28.3%,3.1%,25.2%,.163,0.68,.208,77.5%,1.84,2.37,-0.53,2.98,2036
Jonathan Hernandez,TEX,6.59,0.66,10.00,0.00,19.6%,2.0%,17.6%,.239,0.88,.289,71.4%,2.63,2.39,0.25,4.08,17464
Chasen Shreve,NYM,12.27,2.45,5.00,0.82,37.5%,7.5%,30.0%,.111,0.64,.143,89.3%,1.64,2.46,-0.83,2.33,10855
Victor Gonzalez,LAD,8.18,0.82,10.00,0.00,21.7%,2.2%,19.6%,.195,0.82,.250,75.0%,2.45,2.46,-0.01,4.04,16408
Tyler Matzek,ATL,12.06,2.87,4.20,0.57,34.4%,8.2%,26.2%,.145,0.83,.212,87.3%,1.72,2.49,-0.77,3.51,10058
Sandy Alcantara,MIA,10.80,3.15,3.43,0.45,32.0%,9.3%,22.7%,.176,0.95,.256,73.9%,1.80,2.49,-0.69,3.00,18684
Jacob deGrom,NYM,13.32,2.16,6.17,1.08,35.9%,5.8%,30.1%,.219,1.08,.316,78.9%,3.24,2.51,0.73,2.42,10954
Rich Hill,MIN,7.50,3.00,2.50,0.00,22.2%,8.9%,13.3%,.171,0.92,.226,81.8%,1.50,2.52,-1.02,4.45,4806
Zach Eflin,PHI,10.45,3.48,3.00,0.29,27.9%,9.3%,18.6%,.259,1.35,.367,69.7%,4.06,2.55,1.52,3.62,13774
