Dugger, Robert,667498,49,22.2,34.7,109.3,93.1,94.1,94.6,427,214,397,25,25.8,51.0,9,18.4,16.1
Yamamoto, Jordan,657141,47,17.9,48.9,115.9,93,95.9,86.9,466,240,412,29,25.0,61.7,10,21.3,14.9
Mejía, Humberto,650668,31,17.7,45.2,109.5,93,98.3,80.2,418,252,411,14,14.0,45.2,7,22.6,14.3
Suárez, Andrew,605498,31,13.9,45.2,106.6,91.9,95.1,88.1,378,197,378,16,21.3,51.6,6,19.4,14.3
Stephenson, Robert,596112,26,26.1,38.5,109.1,91.2,95,90.3,434,238,388,14,16.3,53.8,6,23.1,14.0
Hembree, Heath,592390,60,17,40.0,111.7,89.9,95.2,80,425,214,402,23,12.6,38.3,12,20.0,13.3
Crowe, Wil,640444,29,23.1,55.2,109,90.1,94.6,89.1,471,234,435,13,18.1,44.8,6,20.7,13.0
Oswalt, Corey,621261,41,18.8,34.1,111,91.1,94.3,86.9,458,208,412,20,19.8,48.8,7,17.1,12.7
Gott, Trevor,641627,40,28.2,47.5,109.1,93.7,95.4,93.3,411,238,390,20,23.5,50.0,7,17.5,12.3
Milner, Hoby,571948,39,21.1,41.0,107.6,88.2,94.5,85,427,187,398,17,16.8,43.6,7,17.9,11.9
Odorizzi, Jake,543606,43,15.5,41.9,109.8,90.1,93.5,87.9,440,185,413,17,12.5,39.5,7,16.3,11.7
Santos, Antonio,665733,25,12.7,48.0,112.3,94.1,92.6,96.9,438,197,438,12,20.0,48.0,4,16.0,11.4
Doolittle, Sean,448281,26,31.5,57.7,107,89.9,93,94.4,412,268,400,9,12.0,34.6,4,15.4,11.1
Bumgarner, Madison,518516,141,17.3,37.6,112.2,89.5,95.9,80.7,453,201,404,57,16.2,40.4,21,14.9,11.1
Anderson, Chase,502624,105,15.1,42.9,117.5,87.9,94.2,82,445,183,402,40,13.5,38.1,17,16.2,11.0
Leone, Dominic,608678,26,7.9,61.5,111,87,96,66.6,429,214,415,13,13.7,50.0,5,19.2,10.6
Ponce, Cody,664074,48,21.2,31.3,108.4,88.7,95.2,85.5,431,191,394,16,13.9,33.3,7,14.6,10.6
Woodford, Jake,663765,64,12.2,21.9,110.3,89.9,94.2,87.1,435,166,404,26,16.0,40.6,9,14.1,10.6
Chavez, Jesse,445926,56,12,37.5,112.6,86.9,92.7,82.3,436,186,405,19,15.4,33.9,8,14.3,10.4
Kilome, Franklyn,642584,35,16.9,37.1,113.8,89.7,93.6,84.4,415,213,401,16,16.7,45.7,6,17.1,10.3
Goudeau, Ashton,623485,34,8,35.3,108.2,91.9,96.6,87.5,436,159,404,16,28.6,47.1,4,11.8,10.3
Kennedy, Ian,453178,48,19.8,27.1,112.5,92.5,97.5,89.2,402,200,388,22,16.3,45.8,7,14.6,10.1
Kickham, Mike,592464,46,10.2,34.8,109.7,89.9,94.5,83.3,445,178,418,17,12.9,37.0,7,15.2,10.0
Burrows, Beau,663366,25,12.6,32.0,114.7,90,91.9,87.3,411,187,389,7,13.7,28.0,3,12.0,10.0
Erlin, Robbie,572362,88,19.7,38.6,109.6,89.8,94.1,85.7,470,214,412,37,17.5,42.0,12,13.6,9.8
Brewer, Colten,605155,82,6,37.8,110.9,89.2,94.7,85,438,161,410,33,13.3,40.2,12,14.6,9.8
Vincent, Nick,543883,68,15,38.2,108.4,90.5,93.3,86.8,441,199,390,32,19.9,47.1,9,13.2,9.8
Montero, Rafael,606160,45,23,44.4,112,88.2,95,85,436,216,424,20,15.2,44.4,7,15.6,9.7
Smith, Will,519293,40,22.2,37.5,110.6,90.2,94.8,80.2,445,216,405,18,15.0,45.0,6,15.0,9.7
Mella, Keury,622492,29,11.6,37.9,110.5,91.6,97.5,87.7,416,182,416,14,18.4,48.3,4,13.8,9.5
Holland, Derek,502706,116,16,35.3,112.3,92.5,97,87.5,437,197,406,56,18.1,48.3,17,14.7,9.5
Lester, Jon,452657,203,11.9,34.0,112.5,88.9,93.1,86,443,171,403,79,17.8,38.9,25,12.3,9.4
Teheran, Julio,527054,111,15.5,42.3,112.2,89,91.4,86,451,196,405,43,16.9,38.7,14,12.6,9.4
Hess, David,605276,29,17.3,31.0,107.3,89.9,91.3,89.4,361,190,361,10,15.4,34.5,3,10.3,9.4
Young, Alex,622065,150,15.3,41.3,111.8,90,94.6,84.6,446,203,412,61,15.6,40.7,19,12.7,9.3
Rondón, Héctor,444468,62,10.6,43.5,112.1,91.5,96,86.4,425,195,389,27,15.0,43.5,9,14.5,9.3
Harvey, Matt,518774,50,8.9,44.0,112.2,93.5,97.4,89.5,428,187,396,27,26.0,54.0,6,12.0,9.2
Matz, Steven,571927,96,15.2,42.7,114.7,91.5,94.5,89.2,463,204,404,47,15.7,49.0,13,13.5,9.2
Samardzija, Jeff,502188,65,29.3,33.8,110.9,89.3,93.4,84.2,458,215,399,22,16.4,33.8,7,10.8,9.1
Thorpe, Lewis,626929,57,18.2,43.9,107.2,86.3,90.8,85.1,418,188,403,19,15.7,33.3,7,12.3,9.1
Roark, Tanner,543699,154,17.8,36.4,111.4,89.2,93.4,86,438,190,389,66,16.7,42.9,20,13.0,9.1
Mize, Casey,663554,89,11.2,38.2,108.9,88.6,95.2,82.8,455,172,409,38,15.0,42.7,12,13.5,9.0
Hernández, Carlos,672578,47,15.3,31.9,112.8,91.6,97.4,88.7,439,176,406,22,18.6,46.8,6,12.8,9.0
Hart, Kyle,606996,44,18.5,50.0,110.6,90.6,94.5,87.2,459,203,433,20,19.4,45.5,6,13.6,9.0
Stashak, Cody,664054,37,17.1,37.8,108.4,89.6,95.9,86,448,195,442,14,12.0,37.8,5,13.5,8.8
Robles, Hansel,570663,49,15.7,46.9,110,88.4,89.3,90.7,409,207,390,19,12.7,38.8,7,14.3,8.8
Rosso, Ramón,665759,26,24,46.2,110.7,93.3,94,95.4,398,249,398,13,14.0,50.0,4,15.4,8.7
Morgan, Adam,605388,36,10.6,33.3,114.2,88.5,93.1,85,394,168,384,13,12.7,36.1,5,13.9,8.6
Tomlin, Josh,458708,118,17,34.7,111.1,88.9,93.2,85.3,446,187,404,43,15.1,36.4,14,11.9,8.6
Díaz, Jairo,545064,72,8.2,44.4,112.4,89.8,94.1,84.8,426,183,407,29,17.5,40.3,9,12.5,8.5
Gsellman, Robert,607229,53,13.5,35.8,112.9,88.8,95.5,84.4,466,182,401,26,20.6,49.1,6,11.3,8.5
James, Josh,657624,43,16.4,46.5,107.1,85.4,88.9,80.5,437,197,409,13,10.7,30.2,7,16.3,8.4
Banda, Anthony,607455,25,9.9,32.0,109.6,88.5,92.8,85.8,455,168,455,10,18.2,40.0,3,12.0,8.3
García, Rony,665621,73,15.7,41.1,114.3,90,93.5,85.8,435,194,392,31,18.2,42.5,8,11.0,8.3
Stanek, Ryne,592773,29,20.2,27.6,110.3,89.8,94.1,83.1,431,196,395,13,14.6,44.8,4,13.8,8.3
Phelps, David,475479,48,13.5,35.4,108.9,85,94.1,76.3,419,172,403,18,11.5,37.5,7,14.6,8.2
DeSclafani, Anthony,543101,114,11,36.0,108.4,89.6,93.2,85.7,430,172,404,53,20.2,46.5,13,11.4,8.2
Wilson, Bryse,669060,48,11.2,37.5,116.7,89.7,95.9,84.7,432,161,395,20,13.7,41.7,6,12.5,8.2
Kuhl, Chad,641771,122,14.4,33.6,114.5,89.5,92.9,87,440,178,407,48,15.4,39.3,16,13.1,8.1
Springs, Jeffrey,605488,63,15.2,41.3,116.3,86.5,94.7,78,415,185,400,23,11.7,36.5,8,12.7,8.1
Knebel, Corey,608349,39,19.7,33.3,111,86.9,96,76,402,203,380,12,11.9,30.8,5,12.8,8.1
Kelly, Merrill,518876,90,13.3,36.7,115,88.5,95.7,84.7,413,168,392,36,16.6,40.0,10,11.1,8.0
Nova, Iván,467100,70,6,28.6,112.8,90.2,94.9,86.6,462,151,406,29,20.4,41.4,7,10.0,8.0
Petit, Yusmeiro,433589,66,18.5,25.8,109.4,87.5,92.9,82.5,426,197,414,22,13.4,33.3,7,10.6,8.0
Workman, Brandon,519443,65,3.2,32.3,111.1,90.1,95.4,85.5,409,161,394,32,19.0,49.2,8,12.3,7.9
Estévez, Carlos,608032,77,19.2,44.2,111.5,91.8,92.7,92,417,204,398,36,16.7,46.8,9,11.7,7.8
Paddack, Chris,663978,173,9.3,34.1,111.9,90.9,95.1,88.7,428,166,400,82,17.9,47.4,19,11.0,7.8
Stripling, Ross,548389,161,12.3,37.3,112.1,91.2,95.4,87.3,431,185,397,63,18.1,39.1,17,10.6,7.7
Eshelman, Thomas,664045,117,17,38.5,112.8,88.5,91.6,86.9,448,190,410,41,16.9,35.0,11,9.4,7.7
Triggs, Andrew,592811,26,14.2,23.1,106,90.9,95.5,87.6,409,170,390,13,22.4,50.0,3,11.5,7.7
Hudson, Daniel,543339,50,27.4,36.0,112.8,90.8,93.7,81.5,416,230,386,18,8.8,36.0,7,14.0,7.6
Morejon, Adrian,670970,50,9.1,44.0,110.3,86.7,94.5,78.7,430,187,396,18,11.9,36.0,6,12.0,7.6
Cishek, Steve,518553,59,18.6,37.3,110.9,89.2,92.2,85.1,454,206,409,24,15.9,40.7,7,11.9,7.5
Toussaint, Touki,657053,69,13.2,37.7,112.4,89.2,95.9,83.8,435,176,414,27,13.2,39.1,9,13.0,7.5
Boyd, Matthew,571510,184,15.4,37.0,110.8,87.4,93,82.4,443,182,400,68,12.9,37.0,20,10.9,7.4
Fulmer, Michael,605242,103,17.4,37.9,111.3,90.8,91.8,92.6,437,185,406,46,20.2,44.7,10,9.7,7.4
Foster, Matt,641582,69,17.8,44.9,109.4,87.2,92,81.8,414,196,388,27,12.8,39.1,8,11.6,7.3
Goody, Nick,580792,34,15.2,38.2,105.4,86.1,93.2,79.3,424,196,394,9,8.3,26.5,4,11.8,7.3
