Santos, Antonio,665733,2020,35,25,.483,.453,0.030,.759,.770,-0.011,.556,.549,0.007,16.50,18.28,-1.78
Crowe, Wil,640444,2020,46,29,.378,.355,0.023,.838,.824,0.014,.541,.521,0.020,11.88,15.44,-3.56
Yamamoto, Jordan,657141,2020,67,47,.458,.365,0.093,.983,.840,0.143,.596,.512,0.084,18.26,14.63,3.63
Grotz, Zac,665093,2020,46,27,.367,.302,0.065,.833,.615,0.218,.552,.497,0.055,14.73,13.37,1.36
Hart, Kyle,606996,2020,67,44,.429,.349,0.080,.714,.725,-0.011,.507,.483,0.024,15.55,12.29,3.26
Suárez, Andrew,605498,2020,42,31,.250,.355,-0.105,.417,.715,-0.298,.340,.482,-0.142,3.72,12.22,-8.50
Hall, Matt,664180,2020,54,34,.395,.373,0.022,.628,.613,0.015,.488,.476,0.012,18.69,11.78,6.91
Dugger, Robert,667498,2020,56,49,.396,.341,0.055,.887,.750,0.137,.536,.463,0.073,12.66,10.90,1.76
Mejía, Humberto,650668,2020,49,31,.310,.300,0.010,.619,.731,-0.112,.431,.461,-0.030,5.40,10.77,-5.37
Harvey, Matt,518774,2020,65,50,.450,.367,0.083,.817,.685,0.132,.543,.461,0.082,11.57,10.77,0.80
Goudeau, Ashton,623485,2020,39,34,.441,.380,0.061,.765,.667,0.098,.497,.451,0.046,7.56,10.13,-2.57
Díaz, Jairo,545064,2020,106,72,.365,.338,0.027,.612,.594,0.018,.449,.442,0.007,7.65,9.59,-1.94
Doolittle, Sean,448281,2020,36,26,.300,.354,-0.054,.633,.701,-0.068,.394,.441,-0.047,5.87,9.54,-3.67
Gsellman, Robert,607229,2020,71,53,.361,.318,0.043,.672,.607,0.065,.459,.427,0.032,9.64,8.76,0.88
Hembree, Heath,592390,2020,90,60,.329,.286,0.043,.759,.664,0.095,.470,.426,0.044,9.00,8.70,0.30
Teheran, Julio,527054,2020,149,111,.305,.317,-0.012,.641,.623,0.018,.421,.426,-0.005,10.05,8.70,1.35
Bednar, David,670280,2020,32,25,.367,.341,0.026,.567,.628,-0.061,.415,.424,-0.009,7.11,8.60,-1.49
Walden, Marcus,519393,2020,71,52,.371,.334,0.037,.758,.581,0.177,.495,.424,0.071,9.45,8.60,0.85
Cortes, Nestor,641482,2020,44,28,.343,.274,0.069,.914,.596,0.318,.535,.419,0.116,15.26,8.34,6.92
Shaw, Bryan,543766,2020,38,27,.433,.330,0.103,.767,.515,0.252,.524,.416,0.108,18.00,8.18,9.82
