,,,TBR,5.02,,4.32,OAK
,,,,,xR Against
,,,JOSH FLEMING,4.09,,4.89,COLE IRVIN
,,,,TBR BULLPEN + DEFENSE,,OAK BULLPEN + DEFENSE
,,,TBR LINEUP,,xR Added,,OAK LINEUP
,,,YANDY DIAZ,0.5,,0.31,TONY KEMP
,,,WANDER FRANCO,0.5,,0.37,ELVIS ANDRUS
,,,HAROLD RAMIREZ,0.51,,0.64,SEAN MURPHY
,,,RANDY AROZARENA,0.5,,0.7,SETH BROWN
,,,BRANDON LOWE,0.72,,0.74,CHAD PINDER
,,,MANUEL MARGOT,0.42,,0.45,KEVIN SMITH
,,,MIKE ZUNINO,0.82,,0.52,SHELDON NEUSE
,,,KEVIN KIERMAIER,0.34,,0.42,CRISTIAN PACHE
,,,TAYLOR WALLS,0.28,,0.38,STEPHEN VOGT



,,,CHW,4.58,,4.36,SEA
,,,,,xR Against
,,,JIMMY LAMBERT,4.39,,4.42,LOGAN GILBERT
,,,,CHW BULLPEN + DEFENSE,,SEA BULLPEN + DEFENSE
,,,CHW LINEUP,,xR Added,,SEA LINEUP
,,,TIM ANDERSON,0.58,,0.33,ADAM FRAZIER
,,,LUIS ROBERT,0.8,,0.57,TY FRANCE
,,,JOSE ABREU,0.48,,0.7,JESSE WINKER
,,,YASMANI GRANDAL,0.67,,0.7,MITCH HANIGER
,,,ELOY JIMENEZ,0.46,,0.46,EUGENIO SUAREZ
,,,GAVIN SHEETS,0.58,,0.53,JARRED KELENIC
,,,LEURY GARCIA,0.44,,0.44,JULIO RODRIGUEZ
,,,JOSH HARRISON,0.4,,0.3,J.P. CRAWFORD
,,,REESE MCGUIRE,0.28,,0.34,CAL RALEIGH



,,,MIL,4.83,,4.3,STL
,,,,,xR Against
,,,BRANDON WOODRUFF,3.79,,4.32,ADAM WAINWRIGHT
,,,,MIL BULLPEN + DEFENSE,,STL BULLPEN + DEFENSE
,,,MIL LINEUP,,xR Added,,STL LINEUP
,,,KOLTEN WONG,0.44,,0.52,DYLAN CARLSON
,,,WILLY ADAMES,0.64,,0.83,PAUL GOLDSCHMIDT
,,,CHRISTIAN YELICH,0.59,,0.83,TYLER O'NEILL
,,,ANDREW MCCUTCHEN,0.56,,0.52,NOLAN ARENADO
,,,ROWDY TELLEZ,0.67,,0.56,ALBERT PUJOLS
,,,HUNTER RENFROE,0.73,,0.55,PAUL DEJONG
,,,OMAR NARVAEZ,0.44,,0.4,YADIER MOLINA
,,,LORENZO CAIN,0.37,,0.45,HARRISON BADER
,,,JACE PETERSON,0.37,,0.37,TOMMY EDMAN



,,,PIT,4.7,,4.63,WSN
,,,,,xR Against
,,,J.T. BRUBAKER,4.87,,5.55,JOAN ADON
,,,,PIT BULLPEN + DEFENSE,,WSN BULLPEN + DEFENSE
,,,PIT LINEUP,,xR Added,,WSN LINEUP
,,,DANIEL VOGELBACH,0.57,,0.5,CESAR HERNANDEZ
,,,BRYAN REYNOLDS,0.7,,0.84,JUAN SOTO
,,,KE'BRYAN HAYES,0.44,,0.8,NELSON CRUZ
,,,YOSHITOMO TSUTSUGO,0.47,,0.62,JOSH BELL
,,,KEVIN NEWMAN,0.29,,0.35,KEIBERT RUIZ
,,,COLE TUCKER,0.3,,0.47,LANE THOMAS
,,,BEN GAMEL,0.44,,0.41,MAIKEL FRANCO
,,,ROBERTO PEREZ,0.42,,0.33,ALCIDES ESCOBAR
,,,HOY JUN,0.41,,0.29,VICTOR ROBLES



,,,MIA,4.79,,4.69,PHI
,,,,,xR Against
,,,SANDY ALCANTARA,4.27,,5.4,KYLE GIBSON
,,,,MIA BULLPEN + DEFENSE,,PHI BULLPEN + DEFENSE
,,,MIA LINEUP,,xR Added,,PHI LINEUP
,,,JORGE SOLER,0.75,,0.84,KYLE SCHWARBER
,,,GARRETT COOPER,0.66,,0.51,JT REALMUTO
,,,JESUS SANCHEZ,0.48,,0.9,BRYCE HARPER
,,,JESUS AGUILAR,0.47,,0.69,NICK CASTELLANOS
,,,AVISAIL GARCIA,0.46,,0.77,RHYS HOSKINS
,,,JOEY WENDLE,0.37,,0.32,DIDI GREGORIUS
,,,MIGUEL ROJAS,0.32,,0.44,JEAN SEGURA
,,,JACOB STALLINGS,0.37,,0.44,ALEC BOHM
,,,JAZZ CHISHOLM,0.47,,0.34,MATT VIERLING



,,,NYY,4.97,,5.14,TOR
,,,,,xR Against
,,,LUIS SEVERINO,5.04,,4.36,KEVIN GAUSMAN
,,,,NYY BULLPEN + DEFENSE,,TOR BULLPEN + DEFENSE
,,,NYY LINEUP,,xR Added,,TOR LINEUP
,,,JOSH DONALDSON,0.9,,0.83,GEORGE SPRINGER
,,,AARON JUDGE,0.95,,0.7,BO BICHETTE
,,,ANTHONY RIZZO,0.57,,0.84,VLADIMIR GUERRERO
,,,GIANCARLO STANTON,0.79,,0.47,TEOSCAR HERNANDEZ
,,,DJ LEMAHIEU,0.43,,0.63,LOURDES GURRIEL
,,,JOEY GALLO,0.69,,0.7,ALEJANDRO KIRK
,,,AARON HICKS,0.52,,0.6,MATT CHAPMAN
,,,KYLE HIGASHIOKA,0.69,,0.49,ZACK COLLINS
,,,ISIAH KINER-FALEFA,0.27,,0.37,CAVAN BIGGIO



,,,TEX,4.5,,6.06,LAA
,,,,,xR Against
,,,DANE DUNNING,7.28,,3.8,SHOHEI OHTANI
,,,,TEX BULLPEN + DEFENSE,,LAA BULLPEN + DEFENSE
,,,TEX LINEUP,,xR Added,,LAA LINEUP
,,,BRAD MILLER,0.69,,0.94,SHOHEI OHTANI
,,,MARCUS SEMIEN,0.65,,0.92,MIKE TROUT
,,,COREY SEAGER,0.77,,0.56,ANTHONY RENDON
,,,MITCH GARVER,0.78,,0.65,JARED WALSH
,,,NATE LOWE,0.46,,0.39,MATT DUFFY
,,,ADOLIS GARCIA,0.45,,0.49,JOSE ROJAS
,,,KOLE CALHOUN,0.5,,0.53,MAX STASSI
,,,ANDY IBANEZ,0.42,,0.52,BRANDON MARSH
,,,WILLIE CALHOUN,0.35,,0.23,TYLER WADE



,,,KCR,5.23,,4.43,DET
,,,,,xR Against
,,,ZACK GREINKE,4.56,,5.91,CASEY MIZE
,,,,KCR BULLPEN + DEFENSE,,DET BULLPEN + DEFENSE
,,,KCR LINEUP,,xR Added,,DET LINEUP
,,,WHIT MERRIFIELD,0.42,,0.51,ROBBIE GROSSMAN
,,,BOBBY WITT,0.51,,0.62,AUSTIN MEADOWS
,,,ANDREW BENINTENDI,0.61,,0.48,JAVIER BAEZ
,,,SALVADOR PEREZ,0.86,,0.59,JEIMER CANDELARIO
,,,CARLOS SANTANA,0.52,,0.53,MIGUEL CABRERA
,,,HUNTER DOZIER,0.51,,0.48,JONATHAN SCHOOP
,,,ADALBERTO MONDESI,0.53,,0.49,AKIL BADDOO
